,Date_Time,Usage_kWh,Lagging_Current_Reactive.Power_kVarh,Leading_Current_Reactive_Power_kVarh,CO2(tCO2),Lagging_Current_Power_Factor,Leading_Current_Power_Factor,NSM,WeekStatus,Day_Of_Week,Load_Type,Hour,DayOfWeek
0,2018-01-01 00:15:00,3.17,2.95,0.0,0.0,73.21,100.0,900,Weekday,Monday,Light_Load,0,0
1,2018-01-01 00:30:00,4.0,4.46,0.0,0.0,66.77,100.0,1800,Weekday,Monday,Light_Load,0,0
2,2018-01-01 00:45:00,3.24,3.28,0.0,0.0,70.28,100.0,2700,Weekday,Monday,Light_Load,0,0
3,2018-01-01 01:00:00,3.31,3.56,0.0,0.0,68.09,100.0,3600,Weekday,Monday,Light_Load,1,0
4,2018-01-01 01:15:00,3.82,4.5,0.0,0.0,64.72,100.0,4500,Weekday,Monday,Light_Load,1,0
5,2018-01-01 01:30:00,3.28,3.56,0.0,0.0,67.76,100.0,5400,Weekday,Monday,Light_Load,1,0
6,2018-01-01 01:45:00,3.6,4.14,0.0,0.0,65.62,100.0,6300,Weekday,Monday,Light_Load,1,0
7,2018-01-01 02:00:00,3.6,4.28,0.0,0.0,64.37,100.0,7200,Weekday,Monday,Light_Load,2,0
8,2018-01-01 02:15:00,3.28,3.64,0.0,0.0,66.94,100.0,8100,Weekday,Monday,Light_Load,2,0
9,2018-01-01 02:30:00,3.78,4.72,0.0,0.0,62.51,100.0,9000,Weekday,Monday,Light_Load,2,0
10,2018-01-01 02:45:00,3.46,4.03,0.0,0.0,65.14,100.0,9900,Weekday,Monday,Light_Load,2,0
11,2018-01-01 03:00:00,3.24,3.64,0.0,0.0,66.49,100.0,10800,Weekday,Monday,Light_Load,3,0
12,2018-01-01 03:15:00,3.96,4.97,0.0,0.0,62.32,100.0,11700,Weekday,Monday,Light_Load,3,0
13,2018-01-01 03:30:00,3.31,3.74,0.0,0.0,66.27,100.0,12600,Weekday,Monday,Light_Load,3,0
14,2018-01-01 03:45:00,3.31,3.85,0.0,0.0,65.19,100.0,13500,Weekday,Monday,Light_Load,3,0
15,2018-01-01 04:00:00,3.89,5.0,0.0,0.0,61.4,100.0,14400,Weekday,Monday,Light_Load,4,0
16,2018-01-01 04:15:00,3.28,3.82,0.0,0.0,65.14,100.0,15300,Weekday,Monday,Light_Load,4,0
17,2018-01-01 04:30:00,3.56,4.28,0.0,0.0,63.95,100.0,16200,Weekday,Monday,Light_Load,4,0
18,2018-01-01 04:45:00,3.74,4.54,0.0,0.0,63.58,100.0,17100,Weekday,Monday,Light_Load,4,0
19,2018-01-01 05:00:00,3.31,3.6,0.0,0.0,67.68,100.0,18000,Weekday,Monday,Light_Load,5,0
20,2018-01-01 05:15:00,3.56,4.07,0.0,0.0,65.84,100.0,18900,Weekday,Monday,Light_Load,5,0
21,2018-01-01 05:30:00,3.56,4.1,0.0,0.0,65.56,100.0,19800,Weekday,Monday,Light_Load,5,0
22,2018-01-01 05:45:00,3.28,3.49,0.0,0.0,68.48,100.0,20700,Weekday,Monday,Light_Load,5,0
23,2018-01-01 06:00:00,3.78,4.32,0.0,0.0,65.85,100.0,21600,Weekday,Monday,Light_Load,6,0
24,2018-01-01 06:15:00,3.35,3.64,0.0,0.0,67.72,100.0,22500,Weekday,Monday,Light_Load,6,0
25,2018-01-01 06:30:00,3.24,3.35,0.0,0.0,69.52,100.0,23400,Weekday,Monday,Light_Load,6,0
26,2018-01-01 06:45:00,3.89,4.46,0.0,0.0,65.73,100.0,24300,Weekday,Monday,Light_Load,6,0
27,2018-01-01 07:00:00,3.31,3.53,0.0,0.0,68.4,100.0,25200,Weekday,Monday,Light_Load,7,0
28,2018-01-01 07:15:00,3.28,3.49,0.0,0.0,68.48,100.0,26100,Weekday,Monday,Light_Load,7,0
29,2018-01-01 07:30:00,3.85,4.75,0.0,0.0,62.97,100.0,27000,Weekday,Monday,Light_Load,7,0
30,2018-01-01 07:45:00,3.2,3.6,0.0,0.0,66.44,100.0,27900,Weekday,Monday,Light_Load,7,0
31,2018-01-01 08:00:00,3.31,3.78,0.0,0.0,65.88,100.0,28800,Weekday,Monday,Light_Load,8,0
32,2018-01-01 08:15:00,3.78,4.75,0.0,0.0,62.27,100.0,29700,Weekday,Monday,Light_Load,8,0
33,2018-01-01 08:30:00,3.28,3.74,0.0,0.0,65.94,100.0,30600,Weekday,Monday,Light_Load,8,0
34,2018-01-01 08:45:00,3.49,4.46,0.18,0.0,61.63,99.87,31500,Weekday,Monday,Light_Load,8,0
35,2018-01-01 09:00:00,3.89,0.0,15.66,0.0,100.0,24.11,32400,Weekday,Monday,Light_Load,9,0
36,2018-01-01 09:15:00,3.6,0.0,16.96,0.0,100.0,20.76,33300,Weekday,Monday,Light_Load,9,0
37,2018-01-01 09:30:00,4.03,0.0,21.28,0.0,100.0,18.61,34200,Weekday,Monday,Light_Load,9,0
38,2018-01-01 09:45:00,3.92,0.0,19.22,0.0,100.0,19.98,35100,Weekday,Monday,Light_Load,9,0
39,2018-01-01 10:00:00,3.64,0.0,16.88,0.0,100.0,21.08,36000,Weekday,Monday,Light_Load,10,0
40,2018-01-01 10:15:00,4.07,0.0,22.32,0.0,100.0,17.94,36900,Weekday,Monday,Light_Load,10,0
41,2018-01-01 10:30:00,3.71,0.0,18.0,0.0,100.0,20.19,37800,Weekday,Monday,Light_Load,10,0
42,2018-01-01 10:45:00,3.6,0.0,16.92,0.0,100.0,20.81,38700,Weekday,Monday,Light_Load,10,0
43,2018-01-01 11:00:00,4.21,0.0,23.4,0.0,100.0,17.71,39600,Weekday,Monday,Light_Load,11,0
44,2018-01-01 11:15:00,3.49,0.0,5.65,0.0,100.0,52.55,40500,Weekday,Monday,Light_Load,11,0
45,2018-01-01 11:30:00,3.46,0.0,4.82,0.0,100.0,58.31,41400,Weekday,Monday,Light_Load,11,0
46,2018-01-01 11:45:00,4.0,0.0,6.7,0.0,100.0,51.26,42300,Weekday,Monday,Light_Load,11,0
47,2018-01-01 12:00:00,3.49,0.0,4.57,0.0,100.0,60.69,43200,Weekday,Monday,Light_Load,12,0
48,2018-01-01 12:15:00,3.6,0.0,12.89,0.0,100.0,26.9,44100,Weekday,Monday,Light_Load,12,0
49,2018-01-01 12:30:00,4.25,0.0,23.15,0.0,100.0,18.06,45000,Weekday,Monday,Light_Load,12,0
